0.69482,0.6985,0.70127,0.70371,0.70533,0.69292,0.69179
0.71923,0.72365,0.7271,0.72813,0.72914,0.71833,0.71711
0.7323,0.73593,0.73844,0.7409,0.74184,0.73368,0.73249
0.74109,0.74483,0.74761,0.74952,0.7503,0.74388,0.7426
0.74969,0.75257,0.75617,0.758,0.75766,0.75181,0.75083
0.75522,0.75814,0.76094,0.76294,0.76298,0.75749,0.75617
0.76088,0.76418,0.7661,0.76816,0.76915,0.76401,0.76292
0.76542,0.76856,0.77068,0.7723,0.77287,0.7686,0.76875
0.77091,0.77466,0.77703,0.77813,0.7785,0.77474,0.77398
0.77619,0.77987,0.78174,0.78364,0.78378,0.77956,0.77895
0.78048,0.78383,0.78614,0.78772,0.78818,0.78374,0.78351
0.78477,0,0,0,0,0,0
